id,name,birth_year,death_year,age,era,discipline,school_of_thought,central_question,methodology,core_concepts,key_works,expression_style,influenced_by_ids,influenced_on_ids,influence_score,neutral_academic_note,is_founder,is_bridge,region,gender
1,Confucius,-551,-479,72,Ancient,Moral / Political Philosophy,Confucianism,How should social and moral order be cultivated?,"Aphoristic teaching, dialogic instruction, compilation by disciples","Ren (benevolence), Li (ritual), Junzi (moral exemplar)",Analects (compiled),"Short aphoristic sayings, dialogic maxims",,,95,Central founder of Confucian ethical-political thought; core text-based tradition shaping East Asian institutions.,TRUE,TRUE,Ancient China,Male
2,Buddha (Siddhartha Gautama),-563,-483,80,Ancient,Philosophy / Religion,Buddhism,How can suffering be ended?,"Reflective practice, discourse, monastic code and suttas","Four Noble Truths, Eightfold Path, Anatta, Impermanence",Dhammapada; Sutta collections (oral tradition),"Parables, dialogues, aphoristic teachings",,,98,Founder of Buddhism; doctrinal and practical tradition with global historical influence.,TRUE,TRUE,Ancient India (Nepal),Male
3,Laozi (Lao Tzu),-600,-500,100,Ancient,Philosophy / Religion,Daoism (Taoism),How to live in harmony with the Dao (Way)?,Paradoxical aphorism; poetic aphorisms (Dao De Jing),"Dao, Wu wei (non-action), Naturalness",Tao Te Ching (attrib.),"Poetic aphorisms, paradox",,,92,Attributed author of Daoist foundational text; formative for East Asian thought and spirituality.,TRUE,TRUE,Ancient China,Male
4,Socrates,-469,-399,70,Ancient,Ethics / Philosophy,Socratic method / Classical Greek ethics,What is the good life and how should one live?,"Maieutic questioning (Socratic dialogue), ethical questioning","Self-knowledge, examined life, virtue as knowledge",(No writings; reported in Platonic/ Xenophontic dialogues),"Dialogic questioning, elenctic method",,3,96,Foundational figure in Western philosophy; influence known through students’ records.,FALSE,TRUE,Ancient Greece,Male
5,Mozi (Mo Tzu),-470,-391,79,Ancient,Ethics / Political Philosophy,Mohism,How should social order be achieved and what is moral conduct?,Logico-practical argumentation; utilitarian-like social ethics,"Universal love (jian ai), anti-fatalism, meritocratic governance",Mozi (collected essays),Didactic polemic and pragmatic arguments,,,72,Critic of Confucian ritualism; emphasized impartial caring and practical governance.,TRUE,FALSE,Ancient China,Male
6,Mencius (Mengzi),-372,-289,83,Ancient,Moral Philosophy,Confucianism (Neo-Confucian precursor),"Is human nature fundamentally good, and how should it be cultivated?","Dialogues, moral psychology, textual exegesis of Confucian tradition","Innate goodness, moral sprouts, righteous rule",Mencius (collected dialogues),"Dialogic, didactic debates",1,,85,Systematized a doctrine of innate moral tendencies within Confucian framework; central classical Confucian text.,FALSE,TRUE,Ancient China,Male
7,Chuang Tzu (Zhuangzi),-369,-286,83,Ancient,Philosophy / Literature,Daoism (Zhuangzi school),How to live naturally and freely in accord with the Dao?,"Parables, skeptical relativism, literary fable","Relativity of value, spontaneity, freedom from conventions",Zhuangzi (collection of stories and parables),"Whimsical, allegorical narratives and paradox",3,,84,Major literary-philosophical articulator of Daoist themes; influential in East Asian thought and literary traditions.,FALSE,TRUE,Ancient China,Male
8,Plato,-428,-348,80,Ancient,Philosophy / Political Theory,Platonism / Idealism,What is justice and what is the ideal polity?,"Dialogical dialectic, metaphysical theory (Forms), utopian political analysis","Theory of Forms, philosopher-king, tripartite soul",Republic; Symposium; Phaedo; Laws,Dialogic philosophical drama; myth and allegory,2,4,98,Major architect of Western metaphysics and political philosophy; teacher of Aristotle.,TRUE,TRUE,Ancient Greece,Male
9,Diogenes of Sinope,-412,-323,89,Ancient,Philosophy (Cynicism),Cynicism,How to live according to nature and reject artificial social conventions?,"Exemplary provocation, public performance, ascetic practice","Parresia (frankness), self-sufficiency, cosmopolitanism",(No extant writings; reported anecdotes),"Provocative acts, sharp aphorisms",,,70,Famous Cynic figure whose life-as-teaching influenced later ascetic and moral-critical traditions.,FALSE,FALSE,Ancient Greece,Male
10,Aristotle,-384,-322,62,Ancient,Philosophy / Science,Peripateticism / Aristotelianism,"What are the principles of being, knowledge, and ethical flourishing?","Systematic empirical observation, classification, syllogistic logic","Substance, four causes, virtue ethics (golden mean)",Nicomachean Ethics; Politics; Metaphysics; Poetics; Posterior Analytics,Systematic treatise and analytic prose,3,,99,Authoritative across many disciplines; foundational to medieval scholasticism and early science.,TRUE,TRUE,Ancient Greece,Male
11,Epicurus,-341,-270,71,Ancient,"Philosophy (Ethics, Natural Philosophy)",Epicureanism,How can individuals attain tranquility and freedom from fear?,Empirically grounded ethical hedonism; atomistic metaphysics,"Ataraxia (tranquility), pleasure as absence of pain, atomism",Letter to Menoeceus; Principal Doctrines (fragments),Practical letters and maxims,,,78,Founded Epicurean school proposing naturalistic ethics and calming remedies for fear of gods/death.,TRUE,FALSE,Ancient Greece,Male
12,Nagarjuna,150,250,100,Ancient / Classical (India),Buddhist Philosophy / Metaphysics,Madhyamaka,What is the ontological status of phenomena (emptiness)?,Prasangika reductio; dialectical refutation of inherent existence,"Sunyata (emptiness), two truths (conventional/ultimate)",Mulamadhyamakakarika (Fundamental Verses on the Middle Way),Analytical verse and commentary,42,,90,Principal systematizer of Madhyamaka; central in Mahayana Buddhist metaphysics.,TRUE,TRUE,Ancient India,Male
13,Plotinus,204,270,66,Late Antiquity,Philosophy / Mysticism,Neoplatonism,How does multiplicity proceed from the One and how can the soul return?,Contemplative metaphysical ascent; systematic treatise (Enneads as compiled by Porphyry),"The One, emanation, intellect (nous), soul",The Enneads (compiled),Esoteric metaphysical prose,3,,88,Founder of Neoplatonism; significant influence on later Christian and Islamic mystical thought.,TRUE,TRUE,Roman Egypt,Male
14,Augustine of Hippo,354,430,76,Late Antiquity,Theology / Philosophy,Christian Platonism / Patristics,"How are grace, sin, and human will related in salvation?",Theological synthesis of Scripture and Platonism; confessional narrative,"Original sin, grace, City of God vs. earthly city",Confessions; City of God,Confessional theological prose,3,69,94,Pivotal figure in Western Christian theology shaping medieval thought on sin and grace.,FALSE,TRUE,Roman Africa (North Africa),Male
15,Hypatia,350,415,65,Late Antiquity,Mathematics / Philosophy,Neoplatonism (academic tradition),How can mathematical reasoning illuminate cosmology and philosophy?,"Commentary, lecturing, mathematical exposition",Mathematical rigor; Platonic philosophy applied to science,(Commentaries on Ptolemy & Diophantus — mostly lost),Scholarly lectures and commentaries,3,,72,Leading female intellectual of Alexandria; symbol of classical learning and martyrdom for scholarship.,FALSE,TRUE,Alexandria (Roman Egypt),Female
16,Al-Farabi,872,950,78,Medieval / Islamic Golden Age,Philosophy / Political Theory,Neoplatonizing Aristotelianism (Islamic philosophy),What is the ideal political order and role of virtuous intellect?,Synthesis of Plato and Aristotle; systematic philosophical treatise,"Virtuous city, emanation, active intellect",The Virtuous City; On the Perfect State,Systematic philosophical prose,3,4,86,Major transmitter and synthesizer of Greek philosophy into Islamic intellectual tradition; influenced medieval scholasticism.,FALSE,TRUE,Persia / Islamic world,Male
17,Adi Shankara,788,820,32,Medieval,Philosophy / Theology (Vedanta),Advaita Vedanta (non-dualism),What is the nature of ultimate reality (Brahman) and the self (Atman)?,Scriptural exegesis; commentary tradition; dialectical refutation of dualist positions,"Advaita (non-duality), Maya (illusion), identity of Atman and Brahman",Brahmasutra Bhashya; Upadeshasahasri (commentaries),Concise Sanskrit commentary and polemical argument,42,,88,Major consolidator of Advaita Vedanta; central in later Hindu philosophical theology.,FALSE,TRUE,India,Male
18,Avicenna (Ibn Sina),980,1037,57,Islamic Golden Age / Medieval,Philosophy / Medicine,Peripateticism (Aristotelian synthesis),What are the conditions for knowledge and the metaphysical structure of being?,Systematic philosophical and medical synthesis; logical-metaphysical demonstration,"Essence–existence distinction, Active intellect, soul theory",The Canon of Medicine; The Book of Healing (al-Shifa),Encyclopedic treatise and systematic exposition,4,,92,Key systematizer of Aristotelian thought in Islamic world; major influence on Latin scholasticism and medicine.,FALSE,TRUE,Persia (Islamic world),Male
19,Al-Ghazali,1058,1111,53,Islamic Golden Age / Medieval,Theology / Philosophy / Sufism,Ash'arism with Sufi integration,How can one attain certainty and reconcile reason with faith?,Skeptical critique of rationalist philosophers; theological synthesis; mystical practice,"Occasionalism, critique of falsafa, spiritual purification",The Incoherence of the Philosophers; Revival of Religious Sciences (Ihya),Persuasive theological prose and mystical exposition,33,,90,Influential critic of Islamic peripatetic philosophy and pivotal in reasserting theocentric theological approaches.,FALSE,TRUE,Persia (Islamic world),Male
20,Sundiata Keita,1190,1255,65,Medieval,Politics / Foundational law / Oral constitution,Mandé customary political order (Manden Charter),How should a just and stable polity be founded and governed?,"Oral charter, exemplifying rulership, customary codification","Social justice, cohesion (asabiyyah), kingship duties",Mandé Charter (oral tradition),Oral proclamation and epic narrative,,,68,Founder of Mali Empire; associated with early West African chartering of rights and governance practices (oral tradition).,TRUE,FALSE,West Africa (Mali),Male
21,Ibn Arabi,1165,1240,75,Medieval / Islamic Golden Age,Sufi metaphysics / Philosophy,Unity of Being (Wahdat al-wujud) tradition,What is the relationship between God and creation?,Mystical-intuitional exposition; poetic metaphysical commentary,"Unity of Being, Perfect Man (insan kamil), spiritual hierarchy",Fusus al-Hikam; The Meccan Revelations,Complex mystical-prose and symbolism,5,,86,Highly influential Sufi metaphysician whose works permeate later Islamic and comparative mysticism.,FALSE,TRUE,Andalusia / Islamic world,Male
22,Rumi (Jalal ad-Din Rumi),1207,1273,66,Medieval / Islamic Golden Age,Sufi poetry / Mystical philosophy,Sufism (Mevlevi tradition),How can the self unite with the Divine?,"Poetic mysticism, didactic storytelling, poetry as spiritual teaching","Divine love, annihilation (fana), union (baqa)",Mathnawi; Divan-e Shams,"Ecstatic, lyrical mystical poetry",17,,94,One of the most read mystical poets globally; influenced devotional literature and Sufi practice.,FALSE,TRUE,Persia (Anatolia / Iran),Male
23,Thomas Aquinas,1225,1274,49,Medieval,Theology / Philosophy (Scholasticism),Thomism (Aristotelian synthesis with Christian doctrine),How can faith and reason be reconciled?,"Scholastic disputation, systematic synthesis of Aristotelian philosophy and Christian theology","Natural law, essence–existence, Five Ways (proofs of God)",Summa Theologica; Summa contra Gentiles,Systematic scholastic treatise,4,33,95,Principal medieval synthesizer of Aristotle and Christian doctrine; profound influence on Catholic theology and philosophy.,FALSE,TRUE,Italy / Western Christendom,Male
24,John Duns Scotus,1266,1308,42,Medieval,Philosophy / Theology (Scholasticism),Scotsm,How is individuation possible and what is the primacy of will/intellect?,Subtle scholastic distinctions; metaphysical analyses of individuation (haecceity),"Haecceity, univocity of being, will over intellect emphasis",Ordinatio; Quaestiones,Dense scholastic treatise,34,,78,Important medieval thinker developing alternatives to Thomism; influential in late scholastic debates.,FALSE,TRUE,Scotland / Western Christendom,Male
25,William of Ockham,1287,1347,60,Medieval,Philosophy / Theology / Logic,Voluntarism / Nominalism (Ockhamism),What should count as explanatory entities in metaphysics and theology?,"Logical economy, parsimonious explanation (Ockham’s razor)","Nominalism, divine omnipotence, methodological parsimony",Summa Logicae; Quodlibetal Questions,Precise logical prose,34,,85,Founder of nominalist movement; his methodological parsimony influenced modern science and philosophy.,TRUE,TRUE,England / Western Christendom,Male
26,Ibn Khaldun,1332,1406,74,Medieval / Early Modern transition,Historiography / Sociology / Economics,Historical sociology (early social science),Why do civilizations rise and fall?,Comparative historical method; sociological analysis (Asabiyyah concept),"Asabiyyah (social cohesion), cyclical theory of civilization, urbanization effects",Muqaddimah (Prolegomena),Analytical historical prose,34,,88,Early founder of historiography and systematic social analysis; prefigured later social-scientific inquiry.,TRUE,TRUE,North Africa (Tunisia) / Islamic world,Male
27,Guru Nanak,1469,1539,70,Medieval / Early Modern (South Asia),Religion / Philosophy (Sikhism founder),Sikhism,How can spiritual realization be attained through devotion and service?,"Devotional poetry, hymns, community formation","Ik Onkar (one God), seva (selfless service), equality",Guru Granth Sahib (compiled later with his hymns),Poetic hymns and devotional song,,,90,Founder of Sikh religious tradition emphasizing equality and devotional practice.,TRUE,TRUE,South Asia (Punjab),Male
28,Niccolò Machiavelli,1469,1527,58,Renaissance,Political Philosophy / History,Political realism / early modern political analysis,How is political power actually acquired and maintained?,Historical-empirical political analysis; realist prescription,"Virtù, Fortuna, statecraft, separation of morals from political necessity",The Prince; Discourses on Livy,"Plain, ironic, prescriptive prose",,,90,Key early modern theorist separating normative ethics from pragmatic statecraft; foundational to modern political science.,FALSE,TRUE,Italy / Renaissance Europe,Male
29,Nezahualcoyotl,1402,1472,70,Pre-Columbian / Late Medieval Americas,Poetry / Philosophy / Rulership,Nahua philosophical-poetic tradition,"How do beauty, ethics, and rulership interrelate?","Poetic composition, courtly rulership, ritual practice","Flower-and-song (in xochitl-in cuicatl), ephemeral beauty, divine kingship",Nahuatl poems (collected in later sources),Lyrical poetic discourse in Nahuatl,,,70,Ruler-poet of Texcoco; important source for pre-Columbian intellectual and poetic traditions.,FALSE,FALSE,Mesoamerica (Aztec cultural sphere),Male
30,William Shakespeare,1564,1616,52,Renaissance / Early Modern,Literature / Drama,Humanist drama / Early modern literature,What does it mean to be human?,"Dramatic representation, psychological characterization, poetic language","Tragic hero, human complexity, language as action",Hamlet; King Lear; Othello; Macbeth; many plays and poems,"Blank verse, soliloquy, dramatic monologue",,,97,Principal dramatist of English Renaissance; formative for modern literature and character psychology.,FALSE,TRUE,England / Early modern Europe,Male
31,Mulla Sadra (Sadr al-Din al-Shirazi),1571,1640,69,Islamic Golden Age / Early Modern (Islamic philosophy),Philosophy / Metaphysics (Transcendent Theosophy),Transcendent Theosophy (al-hikma al-muta'aliya),How does existence manifest and what is primacy of existence?,"Mystical-intellectual synthesis merging Peripateticism, illuminationism, Sufism","Substantial motion, primacy of existence, unity of knower and known",The Four Journeys (al-Asfar al-Arba'a),Complex mystical-philosophical prose,5,48,80,Influential Persian philosopher synthesizing diverse Islamic philosophical trends into an existential metaphysics.,TRUE,TRUE,Persia / Islamic world,Male
32,Thomas Hobbes,1588,1679,91,Early Modern,Political Philosophy,Social contract theory / early modern absolutism,How can social order be secured against the state of nature?,Rationalist deduction from hypothetical state-of-nature premises; political prescription,"Leviathan (sovereign), social contract, natural equality and competition",Leviathan,Dense systematic prose with geometric-deductive style at times,,,88,Founder of modern political theory emphasizing strong sovereign power as remedy to social conflict.,FALSE,TRUE,England / Early modern Europe,Male
33,René Descartes,1596,1650,54,Early Modern,Philosophy / Mathematics,Cartesianism / Rationalism,How can secure certain knowledge be achieved?,"Methodical doubt, analytic geometry, foundationalist epistemology (cogito)","Cogito ergo sum, mind–body dualism, clear and distinct ideas",Meditations on First Philosophy; Discourse on Method,Methodical meditative prose and mathematical exposition,4,,94,Founding figure of modern epistemology and rationalist metaphysics; shaped scientific method and modern philosophy.,TRUE,TRUE,France / Early modern Europe,Male
34,Baruch Spinoza,1632,1677,45,Early Modern,Philosophy / Ethics,Rationalist pantheism / Spinozism,How can human freedom be understood within necessary causal order?,Geometric-deductive exposition; monist metaphysics,"Substance monism (God or Nature), conatus, ethical rationalism",Ethics; Tractatus Theologico-Politicus,"Geometric treatise, rigorous deductive presentation",33,,89,Radical rationalist whose monistic metaphysics challenged religious orthodoxy and influenced Enlightenment thought.,FALSE,TRUE,Dutch Republic / Early modern Europe,Male
35,John Locke,1632,1704,72,Early Modern / Enlightenment,Political Philosophy / Epistemology,Empiricism / Liberalism,What legitimizes political authority and what are the limits of human knowledge?,Empirical analysis of ideas; social contract argumentation,"Tabula rasa, natural rights, consent of the governed",Two Treatises of Government; Essay Concerning Human Understanding,Clear argumentative prose aimed at reform and policy,,,95,Principal exponent of liberal political theory and empiricist epistemology; crucial to modern constitutionalism.,FALSE,TRUE,England / Enlightenment Europe,Male
36,Gottfried Wilhelm Leibniz,1646,1716,70,Early Modern,Philosophy / Mathematics,Rationalism / Monadology,Why is there something rather than nothing and what is metaphysical harmony?,"Logical analysis, metaphysical system-building, mathematical invention (calculus)","Monad, pre-established harmony, sufficient reason",Monadology; Theodicy; correspondence and essays,Concise systematic treatise and correspondences,4,,88,Major rationalist metaphysician and inventor in mathematics; argued for harmonious cosmology and optimism.,FALSE,TRUE,Germany / Early modern Europe,Male
37,Montesquieu,1689,1755,66,Early Modern / Enlightenment,Political Philosophy / Law,Constitutionalism / Comparative political analysis,How can political structures prevent tyranny?,Comparative-historical analysis of laws and climates; constitutional theory,"Separation of powers, checks and balances, political moderation",The Spirit of the Laws; Persian Letters,Comparative analytic prose with historical examples,,,86,Influential in framing constitutional separation of powers and modern institutional analysis.,FALSE,TRUE,France / Enlightenment Europe,Male
38,Mary Wollstonecraft,1759,1797,38,Enlightenment,Political Philosophy / Feminist Thought,Early feminist liberalism,Are women entitled to the same education and rights as men?,Rational critique and political argumentation for rights and education,"Rights of woman, rational education, equality",A Vindication of the Rights of Woman,Passionate argumentative prose,,,82,Foundational voice in feminist political theory advocating women's rational capacity and education.,FALSE,TRUE,England / Enlightenment Europe,Female
39,Voltaire (François-Marie Arouet),1694,1778,84,Enlightenment,Philosophy / Critique / Literature,Deist critique; Enlightenment satirical rationalism,"How to expose intolerance, superstition, and dogma?","Satire, polemic, dramatic critique, advocacy for tolerance","Religious tolerance, critique of superstition, freedom of expression",Candide; Philosophical Letters; numerous essays and plays,Satirical pamphlet and polemic prose,,,80,Leading public intellectual of the French Enlightenment advocating civil liberties and critique of clerical power.,FALSE,TRUE,France / Enlightenment Europe,Male
40,David Hume,1711,1776,65,Enlightenment,Philosophy (Empiricism / Skepticism),Radical empiricism / philosophical skepticism,What are the limits of human knowledge and the nature of causation?,Empirical analysis of ideas; skeptical argumentation about induction and causation,"Causation as habit, skepticism about metaphysics, empirical moral psychology",A Treatise of Human Nature; Enquiry Concerning Human Understanding,Clear ironic prose with philosophical exposition,,,95,Central figure in modern empiricism; his critique of causation and induction shaped later epistemology.,FALSE,TRUE,Scotland / Enlightenment Britain,Male
41,Jean-Jacques Rousseau,1712,1778,66,Enlightenment,Political Philosophy / Social Critique,Romantic critique of modernity; social contract theory variant,How does modern society affect human freedom and authenticity?,"Social critique, autobiographical reflection, political theory","General will, natural man, critique of inequality",The Social Contract; Emile; Confessions,Passionate confessional and political prose,,,90,Influential in political romanticism and revolutionary-era thought; complex legacy for democratic and authoritarian readings.,FALSE,TRUE,Switzerland / France / Enlightenment Europe,Male
42,Adam Smith,1723,1790,67,Enlightenment,Political Economy / Moral Philosophy,Classical economics / moral sentimentalism,How do market mechanisms and moral sentiments shape social cooperation?,"Empirical observation, philosophical political economy","Invisible hand, division of labor, moral sentiments",The Wealth of Nations; The Theory of Moral Sentiments,Clear systematic prose combining moral and economic argument,,,95,Founder of classical economics and influential theorist of market society and moral psychology.,TRUE,TRUE,Scotland / Enlightenment Britain,Male
43,Immanuel Kant,1724,1804,80,Enlightenment / Critical Philosophy,"Philosophy (Epistemology, Ethics, Metaphysics)",Critical philosophy (transcendental idealism),What are the conditions of possible experience and knowledge?,Transcendental critique; systematic philosophical argumentation,"Synthetic a priori, categorical imperative, autonomy of practical reason",Critique of Pure Reason; Critique of Practical Reason; Groundwork of the Metaphysics of Morals,Dense systematic German philosophical prose,40,,98,One of modern philosophy’s central architects; revolutionized epistemology and ethics with transcendental method.,TRUE,TRUE,Prussia / Enlightenment Europe,Male
44,Jeremy Bentham,1748,1832,84,Enlightenment / Early Modern reform,Ethics / Political Philosophy / Law,Utilitarianism (classical),How can social policy maximize collective welfare?,Consequentialist calculus; legal and institutional reform advocacy,"Greatest happiness principle, felicific calculus, legal reform",An Introduction to the Principles of Morals and Legislation,Systematic utilitarian prose and legal argumentation,,,88,Founder of modern utilitarianism and advocate of systematic legal and penal reform.,TRUE,TRUE,England / Enlightenment Britain,Male
45,Georg Wilhelm Friedrich Hegel,1770,1831,61,19th Century / German Idealism,"Philosophy (Metaphysics, History of Philosophy)",German Idealism (Dialectical method),How does Spirit realize freedom through historical development?,"Systematic dialectic, speculative philosophy, philosophy of history","Dialectic, Absolute Spirit, master–slave dialectic, philosophy of history",Phenomenology of Spirit; Philosophy of Right,Systematic dialectical prose (dense),43,,94,Architect of dialectical system influencing 19th–20th century continental philosophy and political theory.,TRUE,TRUE,Germany / 19th-century Europe,Male
46,William Wordsworth,1770,1850,80,19th Century / Romanticism,"Literature, Poetry, Philosophy of Nature",Romanticism,How can nature inspire moral and aesthetic sensibilities?,"Lyrical poetry, reflection on human–nature interaction","Nature, Imagination, Emotion, Sublime",Lyrical Ballads; The Prelude,"Poetic, descriptive, introspective",47,48,82,Central figure in English Romantic poetry; emphasized nature and emotional depth.,TRUE,FALSE,England,Male
47,Charles Darwin,1809,1882,73,19th Century / Scientific Revolution,"Natural Science, Biology",Evolutionary Biology,How do species evolve through natural selection?,"Empirical observation, comparative anatomy, theory building","Natural Selection, Evolution, Adaptation",On the Origin of Species; The Descent of Man,"Scientific treatise, observational, analytical",49,50,99,Founder of evolutionary biology; reshaped life sciences and social thought.,TRUE,TRUE,England,Male
48,John Stuart Mill,1806,1873,67,19th Century / Liberal Philosophy,"Philosophy, Economics, Political Theory","Utilitarianism, Liberalism",How can individual liberty coexist with social order?,"Ethical reasoning, empirical observation, utilitarian calculus","Liberty, Utilitarianism, Representative Government",On Liberty; Utilitarianism; Principles of Political Economy,Systematic philosophical prose,52,53,90,Major contributor to liberal political thought and ethics; influential in economics and social reform.,FALSE,TRUE,England,Male
49,Søren Kierkegaard,1813,1855,42,19th Century / Existential Philosophy,"Philosophy, Theology",Christian Existentialism,"How should the individual relate to faith, existence, and choice?","Existential analysis, pseudonymous authorship, dialectical method","Subjectivity, Faith, Anxiety, Leap of Faith",Either/Or; Fear and Trembling; The Sickness Unto Death,"Philosophical prose, literary, existential reflection",54,55,88,"Father of existential philosophy; influenced theology, literature, and 20th-century existentialists.",TRUE,TRUE,Denmark,Male
50,Karl Marx,1818,1883,65,19th Century / Political Philosophy,"Philosophy, Political Economy, Sociology","Marxism, Historical Materialism",How do economic structures shape society and history?,"Historical materialism, critique of political economy, dialectical analysis","Class Struggle, Capital, Historical Materialism, Alienation",Das Kapital; The Communist Manifesto,"Analytical, polemical, theoretical prose",56,57,100,Pioneering theorist in socialism and political economy; shaped modern social science and revolutionary movements.,TRUE,TRUE,Germany,Male
51,Friedrich Engels,1820,1895,75,19th Century / Political Philosophy,"Philosophy, Political Economy, Sociology",Marxism,How can society be analyzed and transformed through class relations?,"Collaboration with Marx, historical materialism, critique of capitalism","Class Struggle, Socialist Theory, Industrial Society",The Condition of the Working Class in England; Co-author of The Communist Manifesto,"Analytical, expository, political",50,59,95,Co-founder of Marxist theory; bridged philosophy and political activism.,FALSE,TRUE,Germany,Male
