id,name,birth_year,death_year,age,era,discipline,school_of_thought,central_question,methodology,core_concepts,key_works,expression_style,influenced_by_ids,influenced_on_ids,influence_score,neutral_academic_note,is_founder,is_bridge,region,gender
52,Fyodor Dostoevsky,1821,1881,60,19th Century / Literature & Philosophy,"Literature, Philosophy",Existential Literature,"How do moral, psychological, and spiritual dilemmas shape human existence?","Psychological realism, narrative exploration, philosophical dialogue","Freedom, Guilt, Redemption, Human Nature",Crime and Punishment; The Brothers Karamazov; Notes from Underground,"Narrative, psychological, philosophical",61,62,90,Explored existential and ethical dimensions of human psychology; foundational to existential literature.,FALSE,TRUE,Russia,Male
53,William James,1842,1910,68,19th Century / Pragmatism,"Philosophy, Psychology","Pragmatism, Functional Psychology",How do beliefs and experience shape human consciousness and action?,"Empirical psychology, philosophical analysis, pragmatist reasoning","Pragmatism, Stream of Consciousness, Radical Empiricism",The Principles of Psychology; Pragmatism; The Varieties of Religious Experience,"Analytical, psychological, philosophical",63,64,92,"Founder of American pragmatism; influenced psychology, philosophy, and religious studies.",TRUE,TRUE,USA,Male
54,Friedrich Nietzsche,1844,1900,56,19th Century / Philosophy,"Philosophy, Cultural Critique","Nihilism, Existentialism, Critique of Morality",How should humans confront the death of God and create meaning?,"Aphoristic writing, genealogical analysis, critique of morality","Will to Power, Eternal Recurrence, Übermensch, Nihilism",Thus Spoke Zarathustra; Beyond Good and Evil; Genealogy of Morals,"Aphoristic, polemical, literary",65,66,98,Challenged traditional morality and religion; seminal influence on existentialism and modern philosophy.,TRUE,TRUE,Germany,Male
55,Sigmund Freud,1856,1939,83,19th–20th Century / Psychoanalysis,"Psychology, Neurology",Psychoanalysis,How does the unconscious mind influence human behavior?,"Clinical observation, case studies, psychoanalytic theory","Unconscious, Id/Ego/Superego, Defense Mechanisms, Psychosexual Stages",The Interpretation of Dreams; Civilization and Its Discontents,"Analytical, theoretical, clinical",68,69,100,"Founder of psychoanalysis; profoundly influenced psychology, literature, and cultural studies.",TRUE,TRUE,Austria,Male
56,Émile Durkheim,1858,1917,59,19th Century / Sociology,"Sociology, Philosophy",Structural Functionalism,How do social structures and norms shape human behavior?,"Empirical sociological research, comparative analysis","Social Facts, Collective Conscience, Division of Labor, Suicide Studies",The Rules of Sociological Method; Suicide; The Elementary Forms of Religious Life,"Analytical, empirical, systematic",70,71,95,Founder of modern sociology; established sociology as an academic discipline.,TRUE,TRUE,France,Male
57,Edmund Husserl,1859,1938,79,19th–20th Century / Phenomenology,Philosophy,Phenomenology,How can consciousness and experience be analyzed rigorously?,"Phenomenological reduction, intentionality, rigorous descriptive analysis","Intentionality, Epoché, Phenomenological Method",Logical Investigations; Ideas: General Introduction to Pure Phenomenology,"Systematic, analytical, philosophical prose",72,73,92,Founder of phenomenology; influenced 20th-century continental philosophy.,TRUE,TRUE,Germany,Male
58,Max Weber,1864,1920,56,19th–20th Century / Sociology,"Sociology, Political Economy","Sociology of Religion, Bureaucracy","How do culture, economy, and institutions shape society?","Comparative historical analysis, interpretive sociology","Rationalization, Bureaucracy, Protestant Ethic, Authority Types",The Protestant Ethic and the Spirit of Capitalism; Economy and Society,"Analytical, systematic, empirical",74,75,95,"Developed foundational concepts in sociology; bridged economics, politics, and cultural analysis.",TRUE,TRUE,Germany,Male
59,Rabindranath Tagore,1861,1941,80,19th–20th Century / Literature,"Literature, Philosophy, Music","Bengali Renaissance, Humanism",How can art and literature express human universals and spiritual insight?,"Poetry, lyrical prose, music, cultural criticism","Humanism, Spirituality, Cultural Unity, Nature",Gitanjali; The Home and the World,"Poetic, lyrical, philosophical",76,77,90,"Nobel laureate in literature; integrated philosophy, literature, and music in cultural thought.",FALSE,TRUE,India,Male
60,Mohandas Gandhi,1869,1948,79,19th–20th Century / Political Philosophy,"Political Philosophy, Ethics, Activism","Nonviolence (Ahimsa), Civil Disobedience",How can nonviolence and civil disobedience achieve social and political change?,"Activist praxis, philosophical reflection, political organizing","Nonviolence, Satyagraha, Self-rule, Ethical resistance",Hind Swaraj; My Experiments with Truth,"Reflective, moral-philosophical, practical",78,79,97,Leader of Indian independence movement; developed a philosophy of nonviolent social change.,TRUE,TRUE,India,Male
61,Rudolf Steiner,1861,1925,64,19th–20th Century / Esoteric Philosophy,"Philosophy, Education, Esotericism",Anthroposophy,How can spiritual science guide human development and education?,"Philosophical anthroposophy, holistic education, spiritual-scientific inquiry","Anthroposophy, Waldorf Education, Spiritual Science",Knowledge of the Higher Worlds; The Philosophy of Freedom,"Philosophical, spiritual, pedagogical",80,81,90,"Founder of anthroposophy; influenced education, agriculture, and social philosophy.",TRUE,TRUE,Austria / Germany,Male
62,John Dewey,1859,1952,93,19th–20th Century / Pragmatism,"Philosophy, Education","Pragmatism, Progressive Education",How can education and democracy shape human experience and society?,"Empirical philosophy, educational experimentation, reflective inquiry","Experiential Learning, Democracy, Instrumentalism",Democracy and Education; Experience and Nature,"Analytical, educational, philosophical",82,83,96,Founder of progressive education in the U.S.; integrated philosophy and educational practice.,TRUE,TRUE,USA,Male
63,Henri Bergson,1859,1941,82,19th–20th Century / Philosophy,Philosophy,"Intuitionism, Process Philosophy",How does time and consciousness relate to creativity and life?,"Intuitive philosophical analysis, metaphysical reflection","Duration (La durée), Élan Vital, Intuition",Creative Evolution; Matter and Memory,"Lyrical, metaphysical, analytical",84,85,90,"Developed process philosophy; influenced 20th-century existentialism, psychology, and literature.",TRUE,TRUE,France,Male
64,W. E. B. Du Bois,1868,1963,95,"19th–20th Century / Sociology, Civil Rights","Sociology, History, Political Science","African-American Studies, Civil Rights Activism",How do race and social structures shape human experience?,"Sociological research, historical analysis, activist engagement","Double Consciousness, Race, Social Justice",The Souls of Black Folk; Black Reconstruction in America,"Analytical, sociological, activist",86,87,95,Pioneer in African-American studies; combined scholarship and activism for social reform.,TRUE,TRUE,USA,Male
65,B. R. Ambedkar,1891,1956,65,19th–20th Century / Social Reform,"Law, Social Philosophy, Political Activism","Social Justice, Anti-Caste Activism",How can legal and social reforms eradicate caste-based inequality?,"Legal scholarship, political activism, social philosophy","Social Justice, Caste Abolition, Democracy",Annihilation of Caste; The Problem of the Rupee,"Analytical, legalistic, activist",88,89,95,Architect of the Indian Constitution; championed social justice and Dalit rights.,TRUE,TRUE,India,Male
66,Antonio Gramsci,1891,1937,46,20th Century / Marxist Philosophy,"Political Philosophy, Sociology","Marxism, Cultural Hegemony",How do culture and ideology maintain power structures?,"Historical materialism, cultural critique, prison notebooks","Cultural Hegemony, Intellectuals, Passive Revolution",Prison Notebooks,"Analytical, theoretical, political",90,91,92,Developed theory of cultural hegemony; influential in political theory and sociology.,TRUE,TRUE,Italy,Male
67,Mikhail Bakhtin,1895,1975,80,20th Century / Literary Theory,"Philosophy, Literary Criticism","Dialogism, Cultural Theory","How do dialogue, language, and culture shape meaning?","Literary analysis, philosophical reflection, cultural critique","Dialogism, Carnivalesque, Heteroglossia",Problems of Dostoevsky’s Poetics; Rabelais and His World,"Analytical, literary, philosophical",92,93,90,Pioneer in literary theory; developed concepts of dialogism and cultural critique.,TRUE,TRUE,Russia,Male
68,Carl Jung,1875,1961,86,19th–20th Century / Psychology,"Psychology, Psychiatry",Analytical Psychology,How do archetypes and the collective unconscious influence human experience?,"Clinical observation, dream analysis, archetypal theory","Collective Unconscious, Archetypes, Individuation","Psychological Types; Memories, Dreams, Reflections","Analytical, symbolic, clinical",55,95,97,Founder of analytical psychology; introduced archetypes and the collective unconscious.,TRUE,TRUE,Switzerland,Male
69,Albert Einstein,1879,1955,76,20th Century / Physics,Theoretical Physics,"Relativity, Quantum Theory Foundations","How do space, time, and energy interrelate in the physical universe?","Theoretical physics, mathematical modeling, thought experiments","Special Relativity, General Relativity, E=mc², Photoelectric Effect",Annus Mirabilis Papers; Relativity: The Special and General Theory,"Analytical, mathematical, theoretical",,97,100,"Revolutionized physics; foundational to modern cosmology, quantum theory, and technology.",TRUE,TRUE,Germany / Switzerland,Male
70,Martin Heidegger,1889,1976,87,20th Century / Continental Philosophy,"Philosophy (Ontology, Phenomenology)",Existential Phenomenology,What does it mean to be?,"Phenomenological analysis, hermeneutics, existential inquiry","Being-in-the-world, Dasein, Authenticity, Temporality",Being and Time,"Dense, phenomenological, poetic",45,98,96,Major figure in 20th-century continental philosophy; foundational for existentialism and hermeneutics.,TRUE,TRUE,Germany,Male
71,Ludwig Wittgenstein,1889,1951,62,20th Century / Analytic Philosophy,"Philosophy (Logic, Language, Mind)","Analytic Philosophy, Philosophy of Language",How does language shape thought and reality?,"Logical analysis, linguistic philosophy, conceptual clarification","Language Games, Picture Theory of Meaning, Rule-Following",Tractatus Logico-Philosophicus; Philosophical Investigations,"Concise, aphoristic, analytical",100,101,98,Revolutionized analytic philosophy; transformed philosophy of language and mind.,TRUE,TRUE,Austria / UK,Male
72,Karl Jaspers,1883,1969,86,20th Century / Existential Philosophy,"Philosophy, Psychiatry","Existentialism, Philosophical Anthropology",How can humans confront existence and transcendence?,"Existential analysis, philosophical reflection, psychological inquiry","Existenz, Limit Situation, Transcendence",Philosophy; Man in the Modern World,"Analytical, reflective, existential",102,103,91,Key figure in existentialist philosophy; integrated philosophy with psychiatry.,TRUE,TRUE,Germany,Male
73,José Ortega y Gasset,1883,1955,72,20th Century / Spanish Philosophy,"Philosophy, Sociology","Existentialism, Cultural Criticism",How does life and circumstance shape human existence?,"Philosophical essays, cultural analysis, reflective writing","Radical Reality, Life Philosophy, Perspectivism",The Revolt of the Masses; Meditations on Quixote,"Essayistic, analytical, literary",104,105,90,Influential Spanish philosopher; shaped cultural criticism and existential thought in Europe.,TRUE,TRUE,Spain,Male
74,T.S. Eliot,1888,1965,77,20th Century / Modernist Literature,"Poetry, Literary Criticism",Modernism,How can literature reflect and shape modern consciousness?,"Literary analysis, poetry, cultural critique","Modernist Poetry, Cultural Fragmentation, Literary Tradition",The Waste Land; Four Quartets,"Poetic, allusive, modernist",106,107,95,Leading modernist poet and critic; transformed English-language poetry in the 20th century.,TRUE,TRUE,USA / UK,Male
75,Franz Kafka,1883,1924,41,20th Century / Literature,"Literature, Philosophy","Modernist, Existential Literature",How does alienation and bureaucracy affect human existence?,"Fictional narratives, existential allegory","Alienation, Absurdity, Bureaucracy, Metamorphosis",The Trial; The Metamorphosis; The Castle,"Allegorical, existential, surreal",108,109,94,Iconic literary figure; explored existential alienation and absurdity in 20th-century literature.,FALSE,TRUE,Austria-Hungary / Czech lands,Male
76,James Joyce,1882,1941,59,20th Century / Modernist Literature,Literature,"Modernism, Stream-of-Consciousness",How can narrative form express consciousness and identity?,"Experimental literary techniques, stream-of-consciousness, linguistic play","Stream-of-Consciousness, Epiphany, Interior Monologue",Ulysses; Finnegans Wake; A Portrait of the Artist as a Young Man,"Experimental, dense, modernist",110,111,95,Pioneered stream-of-consciousness technique; transformed modern narrative literature.,TRUE,TRUE,Ireland,Male
77,Virginia Woolf,1882,1941,59,20th Century / Modernist Literature,"Literature, Feminist Philosophy","Modernism, Feminist Critique",How can narrative form reflect consciousness and gender?,"Stream-of-consciousness, essays, literary experimentation","Consciousness, Feminism, Narrative Innovation",Mrs. Dalloway; To the Lighthouse; A Room of One’s Own,"Experimental, introspective, lyrical",112,113,95,Key figure in modernist literature and feminist critique; explored gender and consciousness.,TRUE,TRUE,UK,Female
78,Hannah Arendt,1906,1975,69,20th Century / Political Philosophy,"Philosophy, Political Theory","Political Philosophy, Totalitarianism Studies","How do power, evil, and political systems shape human life?","Philosophical analysis, historical study, political reflection","Banality of Evil, Totalitarianism, Human Condition",The Origins of Totalitarianism; Eichmann in Jerusalem; The Human Condition,"Analytical, reflective, historical",114,115,96,"Major political theorist; analyzed totalitarianism, ethics, and human rights.",TRUE,TRUE,Germany / USA,Female
79,Emmanuel Levinas,1906,1995,89,20th Century / Continental Philosophy,"Philosophy, Ethics","Phenomenology, Ethics of the Other",How is ethics grounded in our relation to the Other?,"Phenomenological analysis, ethical reflection, existential inquiry","Ethics as First Philosophy, Otherness, Responsibility",Totality and Infinity; Otherwise than Being,"Dense, philosophical, ethical",71,116,94,Developed ethics as foundational philosophy; influential in continental philosophy and theology.,TRUE,TRUE,France / Lithuania,Male
80,Jean-Paul Sartre,1905,1980,75,20th Century / Existentialism,"Philosophy, Literature","Existentialism, Phenomenology",How can humans achieve freedom in a world without inherent meaning?,"Existential analysis, phenomenology, literary narrative","Existence precedes essence, Freedom, Responsibility, Bad Faith",Being and Nothingness; Nausea; No Exit,"Analytical, literary, existential",71,119,96,Central figure in existentialist thought; integrated philosophy with literature and politics.,TRUE,TRUE,France,Male
81,Simone de Beauvoir,1908,1986,78,"20th Century / Existentialism, Feminist Philosophy","Philosophy, Feminist Theory, Literature","Existentialism, Feminist Philosophy",How can women achieve freedom and equality within existential constraints?,"Philosophical analysis, feminist critique, literary narrative","Otherness, Feminism, Existential Freedom",The Second Sex; She Came to Stay,"Analytical, literary, feminist",81,120,95,Pioneer in feminist philosophy; explored existentialism in gender and social critique.,TRUE,TRUE,France,Female
82,Simone Weil,1909,1943,34,"20th Century / Philosophy, Mysticism","Philosophy, Social Theory, Mysticism","Religious Existentialism, Social Critique",How can human suffering and attention inform ethics and social justice?,"Reflective essays, mystical analysis, social observation","Attention, Affliction, Justice, Spirituality",Gravity and Grace; The Need for Roots,"Poetic, reflective, ethical",,122,90,"Integrated philosophy, mysticism, and social critique; notable for ethical reflections on suffering.",FALSE,TRUE,France,Female
83,Claude Lévi-Strauss,1908,2009,101,20th Century / Structuralism,"Anthropology, Philosophy",Structuralism,"How do human societies structure myths, kinship, and culture?","Structural analysis, ethnography, comparative studies","Structuralism, Mythology, Binary Oppositions, Kinship",Structural Anthropology; The Savage Mind,"Analytical, comparative, anthropological",,124,97,Founder of structural anthropology; reshaped the study of culture and human society.,TRUE,TRUE,France,Male
84,Roland Barthes,1915,1980,65,20th Century / Literary Theory,"Literary Theory, Semiotics","Structuralism, Semiotics, Post-Structuralism",How do texts produce meaning and cultural significance?,"Semiotic analysis, textual critique, literary theory","Mythologies, Semiotics, Death of the Author",Mythologies; S/Z,"Analytical, theoretical, literary",84,126,94,Key figure in semiotics and literary theory; bridged structuralism and post-structuralism.,TRUE,TRUE,France,Male
85,Marshall McLuhan,1911,1980,69,20th Century / Media Theory,"Media Theory, Communication","Media Studies, Communication Theory",How do media technologies shape human perception and society?,"Media analysis, cultural critique","Medium is the Message, Global Village, Media Ecology",Understanding Media; The Gutenberg Galaxy,"Analytical, aphoristic, media-focused",,128,95,Pioneer in media theory; influential on communication studies and cultural analysis.,TRUE,TRUE,Canada,Male
86,John Cage,1912,1992,80,20th Century / Avant-Garde Music,"Music, Philosophy","Experimental Music, Avant-Garde",How can chance and silence redefine musical composition?,"Aleatory music, prepared piano, experimental performance","Chance Operations, Silence, Indeterminacy",4’33”; Music of Changes,"Experimental, avant-garde, conceptual",,130,93,Pioneering figure in experimental music; explored philosophy through sound and silence.,TRUE,TRUE,USA,Male
87,Aimé Césaire,1913,2008,95,"20th Century / Literature, Post-Colonial Thought","Poetry, Political Thought","Negritude, Post-Colonialism",How can colonized peoples assert cultural identity and dignity?,"Poetic writing, political essays, cultural critique","Negritude, Colonialism, Cultural Identity",Notebook of a Return to the Native Land; Discourse on Colonialism,"Poetic, rhetorical, political",,132,94,Founder of Negritude movement; major influence on post-colonial thought and literature.,TRUE,TRUE,Martinique / France,Male
88,Paulo Freire,1921,1997,76,20th Century / Education Philosophy,"Pedagogy, Critical Theory","Critical Pedagogy, Liberation Theory",How can education empower marginalized communities?,"Critical pedagogy, dialogical method, praxis","Banking Model of Education, Conscientization, Praxis",Pedagogy of the Oppressed; Education for Critical Consciousness,"Analytical, didactic, ethical",,134,96,Major figure in critical pedagogy; advocated for education as liberation.,TRUE,TRUE,Brazil,Male
89,R.D. Laing,1927,1989,62,"20th Century / Psychiatry, Philosophy","Psychiatry, Philosophy","Anti-Psychiatry, Existential Psychiatry",How does society influence mental illness and self-identity?,"Clinical observation, existential analysis, social critique","Family Nexus, Alienation, Psychotic Experience",The Divided Self; Knots,"Analytical, clinical, existential",,136,92,Criticized mainstream psychiatry; emphasized existential dimensions of mental illness.,TRUE,TRUE,UK,Male
90,Michel Foucault,1926,1984,58,20th Century / Post-Structuralism,"Philosophy, History, Social Theory","Post-Structuralism, Genealogy",How do power and knowledge shape societies and individuals?,"Genealogical analysis, historical critique, archival research","Power/Knowledge, Disciplinary Societies, Biopolitics, Episteme",Discipline and Punish; The History of Sexuality,"Analytical, historical, critical",45,84,139,Pioneering figure in critical theory and social philosophy; transformed understanding of power and institutions.,TRUE,TRUE,France,Male
91,Jacques Derrida,1930,2004,74,20th Century / Post-Structuralism,"Philosophy, Literary Theory","Deconstruction, Post-Structuralism",How can language and text destabilize meaning?,"Deconstructive analysis, textual criticism, philosophical essays","Deconstruction, Différance, Trace, Logocentrism",Of Grammatology; Writing and Difference,"Analytical, dense, philosophical",85,140,96,"Founder of deconstruction; influential in philosophy, literary criticism, and cultural theory.",TRUE,TRUE,France,Male
92,Umberto Eco,1932,2016,84,"20th Century / Semiotics, Literature","Semiotics, Literature, Philosophy","Semiotics, Post-Structuralism",How do signs and symbols construct knowledge and culture?,"Semiotic analysis, literary criticism, philosophical reflection","Semiotics, Interpretation, Textual Analysis, Sign Systems",The Name of the Rose; A Theory of Semiotics,"Analytical, literary, interdisciplinary",85,84,143,"Bridged semiotics, literature, and philosophy; influential in cultural studies and media analysis.",FALSE,TRUE,Italy,Male
93,Jürgen Habermas,1929,,,20th Century / Critical Theory,"Philosophy, Sociology","Frankfurt School, Critical Theory, Communicative Action",How can rational communication achieve consensus and democracy?,"Social theory, philosophical essays, discourse analysis","Communicative Rationality, Public Sphere, Deliberative Democracy",The Theory of Communicative Action; The Structural Transformation of the Public Sphere,"Analytical, sociological, philosophical",45,91,145,"Leading figure in critical theory; influential in sociology, political theory, and philosophy.",FALSE,TRUE,Germany,Male
94,John Rawls,1921,2002,81,20th Century / Political Philosophy,"Philosophy, Political Theory","Liberalism, Justice as Fairness",What principles of justice ensure fairness in society?,"Analytical philosophy, thought experiments, social contract theory","Justice as Fairness, Original Position, Veil of Ignorance",A Theory of Justice; Political Liberalism,"Analytical, normative, philosophical",45,146,96,Reshaped modern political philosophy; foundational to contemporary debates on justice and fairness.,TRUE,TRUE,USA,Male
95,Noam Chomsky,1928,,,"20th Century / Linguistics, Philosophy","Linguistics, Philosophy, Cognitive Science, Political Activism","Generative Grammar, Analytic Philosophy, Political Critique",How is language structured in the human mind and how does power operate in society?,"Linguistic theory, philosophical analysis, political critique","Universal Grammar, Syntactic Structures, Propaganda Model",Syntactic Structures; Manufacturing Consent,"Analytical, critical, scientific",45,70,149,"Founder of modern linguistics; influential in philosophy, cognitive science, and political thought.",TRUE,TRUE,USA,Male
96,Thomas Kuhn,1922,1996,74,20th Century / Philosophy of Science,"Philosophy, History of Science","Scientific Revolutions, Paradigm Theory",How do scientific paradigms change and evolve over time?,"Historical analysis, philosophy of science, case studies","Paradigm Shift, Normal Science, Scientific Revolutions",The Structure of Scientific Revolutions,"Analytical, historical, philosophical",45,150,95,Revolutionized philosophy of science; introduced the paradigm concept influencing multiple disciplines.,TRUE,TRUE,USA,Male
97,Karl Popper,1902,1994,92,20th Century / Philosophy of Science,"Philosophy, Logic, Political Theory","Critical Rationalism, Falsificationism",How can scientific theories be rigorously tested and falsified?,"Philosophical analysis, logical critique, methodological inquiry","Falsifiability, Critical Rationalism, Open Society",The Logic of Scientific Discovery; The Open Society and Its Enemies,"Analytical, philosophical, rigorous",45,152,97,Foundational figure in philosophy of science; emphasized empirical testing and critical rationality.,TRUE,TRUE,Austria / UK,Male
98,Bertrand Russell,1872,1970,98,20th Century / Analytic Philosophy,"Philosophy, Logic, Mathematics","Analytic Philosophy, Logicism",How can logic and mathematics clarify philosophical problems?,"Logical analysis, mathematical reasoning, philosophical essays","Logic, Philosophy of Mathematics, Analytic Philosophy, Theory of Descriptions",Principia Mathematica; A History of Western Philosophy,"Analytical, rigorous, philosophical",45,154,98,"One of the founders of analytic philosophy; influential in logic, mathematics, and philosophy.",TRUE,TRUE,UK,Male
99,George Orwell,1903,1950,47,"20th Century / Literature, Political Thought","Literature, Political Philosophy","Dystopian Literature, Social Critique",How do totalitarian regimes and propaganda manipulate societies?,"Fiction, essays, journalism, political critique","Totalitarianism, Dystopia, Freedom, Propaganda",1984; Animal Farm,"Literary, satirical, critical",,156,94,Influential writer and political thinker; critically examined authoritarianism and social control.,FALSE,TRUE,UK,Male
100,Aldous Huxley,1894,1963,69,"20th Century / Literature, Philosophy","Literature, Philosophy, Social Critique","Dystopian Literature, Humanism",How does technology and social engineering affect human freedom and society?,"Fiction, essays, philosophical reflection","Dystopia, Social Engineering, Human Nature, Individual Freedom",Brave New World; The Doors of Perception,"Literary, philosophical, speculative",,158,92,"Critically examined modernity, technology, and human psychology through literature and philosophy.",FALSE,TRUE,UK,Male
101,C.S. Lewis,1898,1963,65,"20th Century / Literature, Theology","Literature, Christian Apologetics, Philosophy","Christian Humanism, Moral Philosophy",How can faith and reason coexist and guide moral life?,"Philosophical essays, fiction, apologetics","Morality, Faith and Reason, Christian Ethics, Imagination",Mere Christianity; The Chronicles of Narnia,"Literary, philosophical, accessible",,160,90,"Bridged literature, philosophy, and theology; influential in Christian thought and moral philosophy.",FALSE,TRUE,UK,Male
102,J.R.R. Tolkien,1892,1973,81,"20th Century / Literature, Philology","Literature, Linguistics, Philology","Fantasy Literature, Mythopoeia",How can myth and language shape culture and moral imagination?,"Philological analysis, fiction writing, world-building","Myth, Language, Heroism, Good vs. Evil",The Lord of the Rings; The Hobbit,"Literary, mythological, imaginative",,162,93,Pioneering figure in modern fantasy literature; integrated philology and myth-making.,TRUE,TRUE,UK,Male
103,Wassily Kandinsky,1866,1944,78,Early 20th Century / Art Theory,"Art, Philosophy","Abstract Art, Expressionism",How can visual forms express spiritual and emotional realities?,"Artistic creation, theoretical writings on art","Abstract Art, Spirituality, Form and Color, Synesthesia",Concerning the Spiritual in Art; Point and Line to Plane,"Artistic, theoretical, reflective",,190,92,Pioneer of abstract art; combined visual practice with philosophical reflection.,TRUE,TRUE,Russia / Germany,Male
104,Frantz Fanon,1925,1961,36,Mid 20th Century / Political Philosophy,"Political Philosophy, Psychiatry, Postcolonial Studies","Anti-Colonial Theory, Critical Theory","How does colonialism affect identity, psychology, and liberation?","Political theory, psychoanalysis, historical analysis","Colonization, Racism, Liberation, Decolonization","The Wretched of the Earth; Black Skin, White Masks","Analytical, political, psychological",131,220,96,"Key figure in postcolonial theory; influenced liberation movements, philosophy, and political thought.",TRUE,TRUE,Martinique / Algeria,Male
